Date,TSX Adj Close,FTSE Adj Close,NIKKEI Adj Close,VWO Adj Close,KOSDAQ Adj Close,BCOM Adj Close,GLAB.L Adj Close,VIX Adj Close
2019-08-01,16377.0,7584.89990234375,21540.990234375,35.08527374267578,622.260009765625,77.01000213623047,31.407499313354492,17.8700008392334
2019-08-02,16271.7001953125,7407.10009765625,21087.16015625,34.75154113769531,615.7000122070312,77.2300033569336,31.537500381469727,17.610000610351562
2019-08-05,,7223.89990234375,20720.2890625,33.527835845947266,569.7899780273438,76.76000213623047,31.5625,24.59000015258789
2019-08-06,16149.5,7171.7001953125,20585.310546875,34.05839157104492,551.5,76.47000122070312,31.6200008392334,20.170000076293945
2019-08-07,16265.2001953125,7198.7001953125,20516.560546875,34.2038688659668,564.6400146484375,75.97000122070312,31.737499237060547,19.489999771118164
2019-08-08,16404.5,7285.89990234375,20593.349609375,34.64885711669922,585.4400024414062,77.04000091552734,31.637500762939453,16.90999984741211
2019-08-09,16341.2998046875,7253.89990234375,20684.8203125,34.30656051635742,590.0399780273438,77.41999816894531,31.68000030517578,17.969999313354492
2019-08-12,16237.7998046875,7226.7001953125,,33.92147445678711,594.1699829101562,76.83000183105469,31.732500076293945,21.09000015258789
2019-08-13,16350.7998046875,7250.89990234375,20455.439453125,34.32366943359375,590.75,77.58999633789062,31.767499923706055,17.520000457763672
2019-08-14,16045.900390625,7147.89990234375,20655.130859375,33.3737907409668,597.1500244140625,76.86000061035156,31.827499389648438,22.100000381469727
2019-08-15,16012.5,7067.0,20405.650390625,33.562068939208984,,76.69999694824219,31.924999237060547,21.18000030517578
2019-08-16,16149.7998046875,7117.2001953125,20418.810546875,34.00705337524414,591.5700073242188,76.7699966430664,31.90250015258789,18.469999313354492
2019-08-19,16304.099609375,7189.7001953125,20563.16015625,34.1182861328125,594.6500244140625,76.66000366210938,31.860000610351562,16.8799991607666
2019-08-20,16213.2998046875,7125.0,20677.220703125,34.178192138671875,607.010009765625,76.69000244140625,31.889999389648438,17.5
2019-08-21,16309.2001953125,7204.0,20618.5703125,34.443477630615234,615.9600219726562,76.80000305175781,31.8799991607666,15.800000190734863
2019-08-22,16253.5,7128.2001953125,20628.009765625,34.09261703491211,612.25,76.41999816894531,31.822500228881836,16.68000030517578
2019-08-23,16037.599609375,7095.0,20710.91015625,33.604862213134766,608.97998046875,76.06999969482422,31.8799991607666,19.8700008392334
2019-08-26,16098.7998046875,,20261.0390625,33.818782806396484,582.9099731445312,76.3499984741211,,19.31999969482422
2019-08-27,16183.599609375,7089.60009765625,20456.080078125,33.83590316772461,588.3200073242188,76.58000183105469,31.977500915527344,20.309999465942383
2019-08-28,16271.7001953125,7114.7001953125,20479.419921875,33.964263916015625,602.9000244140625,77.16999816894531,32.0625,19.350000381469727
2019-08-29,16384.5,7184.2998046875,20460.9296875,34.35790252685547,599.5700073242188,77.48999786376953,32.040000915527344,17.8799991607666
2019-08-30,16442.099609375,7207.2001953125,20704.369140625,34.571834564208984,610.5499877929688,77.0,31.977500915527344,18.979999542236328
2019-09-02,,7281.89990234375,20620.189453125,,619.8099975585938,,32.029998779296875,
2019-09-03,16399.19921875,7268.2001953125,20625.16015625,34.39213180541992,620.02001953125,77.01000213623047,32.07749938964844,19.65999984741211
2019-09-04,16448.80078125,7311.2998046875,20649.140625,34.9569206237793,629.3099975585938,78.41999816894531,32.05500030517578,17.329999923706055
2019-09-05,16574.80078125,7271.2001953125,21085.939453125,35.222206115722656,632.989990234375,78.02999877929688,31.897499084472656,16.270000457763672
2019-09-06,16535.30078125,7282.2998046875,21199.5703125,35.333438873291016,631.1500244140625,77.88999938964844,31.9325008392334,15.0
2019-09-09,16495.099609375,7235.7998046875,21318.419921875,35.427574157714844,625.77001953125,78.44999694824219,31.84000015258789,15.270000457763672
2019-09-10,16537.30078125,7268.0,21392.099609375,35.427574157714844,623.25,78.76000213623047,31.719999313354492,15.199999809265137
2019-09-11,16611.099609375,7338.0,21597.759765625,35.69285202026367,630.3699951171875,78.20999908447266,31.704999923706055,14.609999656677246
2019-09-12,16643.30078125,7344.7001953125,21759.609375,35.915340423583984,,78.56999969482422,31.6924991607666,14.220000267028809
2019-09-13,16682.400390625,7367.5,21988.2890625,36.10361099243164,,78.69999694824219,31.537500381469727,13.739999771118164
2019-09-16,16751.30078125,7321.39990234375,,35.81265640258789,638.5900268554688,81.4000015258789,31.532499313354492,14.670000076293945
2019-09-17,16834.80078125,7320.39990234375,22001.3203125,35.85544204711914,644.280029296875,79.9000015258789,31.614999771118164,14.4399995803833
2019-09-18,16800.30078125,7314.10009765625,21960.7109375,35.67573547363281,645.1199951171875,79.51000213623047,31.667499542236328,13.949999809265137
2019-09-19,16858.400390625,7356.39990234375,22044.44921875,35.453250885009766,645.7100219726562,79.4000015258789,31.657499313354492,14.050000190734863
2019-09-20,16899.69921875,7344.89990234375,22079.08984375,35.51314163208008,649.0700073242188,79.19999694824219,31.677499771118164,15.319999694824219
